movie_id,title,genres,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,movie_mean_rating,movie_rating_std,movie_rating_count,genre_purity
1,Toy Story (1995),Animation|Children's|Comedy,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.146846413095811,0.8523490842765862,2077,0.3333333333333333
2,Jumanji (1995),Adventure|Children's|Fantasy,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.20114122681883,0.983172043525115,701,0.3333333333333333
3,Grumpier Old Men (1995),Comedy|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.01673640167364,1.0717118389753955,478,0.5
4,Waiting to Exhale (1995),Comedy|Drama,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.7294117647058824,1.0133807183552217,170,0.5
5,Father of the Bride Part II (1995),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0067567567567566,1.0250861666741644,296,1.0
6,Heat (1995),Action|Crime|Thriller,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.8787234042553194,0.9345882716883003,940,0.3333333333333333
7,Sabrina (1995),Comedy|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.410480349344978,0.9799183799386928,458,0.5
8,Tom and Huck (1995),Adventure|Children's,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.014705882352941,0.954058840120798,68,0.5
9,Sudden Death (1995),Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.656862745098039,1.048290433257748,102,1.0
10,GoldenEye (1995),Action|Adventure|Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.5405405405405403,0.8912328467244989,888,0.3333333333333333
11,"American President, The (1995)",Comedy|Drama|Romance,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3.7938044530493706,0.8643904675139522,1033,0.3333333333333333
12,Dracula: Dead and Loving It (1995),Comedy|Horror,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2.3625,1.2052688314126618,160,0.5
13,Balto (1995),Animation|Children's,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2626262626262625,1.055460616980621,99,0.5
14,Nixon (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.542483660130719,0.8734906388238118,153,1.0
15,Cutthroat Island (1995),Action|Adventure|Romance,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.458904109589041,1.2212300883423444,146,0.3333333333333333
16,Casino (1995),Drama|Thriller,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.7932551319648096,0.9050754048198126,682,0.5
17,Sense and Sensibility (1995),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.027544910179641,0.9045359099058449,835,0.5
18,Four Rooms (1995),Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.337579617834395,1.0162408111508667,157,1.0
19,Ace Ventura: When Nature Calls (1995),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.480719794344473,1.1787480236425403,389,1.0
20,Money Train (1995),Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5375,0.9034350937136875,160,1.0
21,Get Shorty (1995),Action|Comedy|Drama,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.6238938053097347,0.9348464525371945,1356,0.3333333333333333
22,Copycat (1995),Crime|Drama|Thriller,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3.3492063492063493,0.9770642460255302,378,0.3333333333333333
23,Assassins (1995),Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.857142857142857,1.0017128188400959,126,1.0
24,Powder (1995),Drama|Sci-Fi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.1794871794871793,1.0674653346155254,624,0.5
25,Leaving Las Vegas (1995),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.6510204081632653,1.0935080878969552,980,0.5
26,Othello (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.53,0.9476712552783313,100,1.0
27,Now and Then (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.9344262295081966,0.9809664020583034,61,1.0
28,Persuasion (1995),Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.055865921787709,0.8722994949490288,179,1.0
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.062034739454094,0.9968222288874267,403,0.5
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.6486486486486487,1.012692497276071,74,1.0
31,Dangerous Minds (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.1134751773049647,0.9643072908389454,141,1.0
32,Twelve Monkeys (1995),Drama|Sci-Fi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.945731303772336,0.964107509224946,1511,0.5
33,Wings of Courage (1995),Adventure|Romance,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0.816496580927726,4,0.5
34,Babe (1995),Children's|Comedy|Drama,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.8914905768132497,1.0379604202733412,1751,0.3333333333333333
35,Carrington (1995),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.3142857142857145,0.9095763808205355,70,0.5
36,Dead Man Walking (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.9579741379310347,0.8673391661304671,928,1.0
37,Across the Sea of Time (1995),Documentary,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5,1.4142135623730951,8,1.0
38,It Takes Two (1995),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8214285714285716,1.4670093394782469,28,1.0
39,Clueless (1995),Comedy|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.6233480176211454,0.9636209925947655,1362,0.5
40,"Cry, the Beloved Country (1995)",Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.933333333333333,0.8683449709106095,30,1.0
41,Richard III (1995),Drama|War,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.958677685950413,0.8388561092530333,242,0.5
42,Dead Presidents (1995),Action|Crime|Drama,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.8687782805429864,1.0206828599604436,221,0.3333333333333333
43,Restoration (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.4457831325301207,0.9309885531072841,166,1.0
44,Mortal Kombat (1995),Action|Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.787781350482315,1.0503356900132401,311,0.5
45,To Die For (1995),Comedy|Drama,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.4246323529411766,1.0035938427645767,544,0.5
46,How to Make an American Quilt (1995),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.108433734939759,0.9724950502984868,166,0.5
47,Seven (Se7en) (1995),Crime|Thriller,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.106420404573439,0.9392287493081478,1137,0.5
