user_id,mean_rating,rating_std,rating_count,rating_min,rating_max,rating_strictness,rating_variability,Action_favorite_degree,Adventure_favorite_degree,Animation_favorite_degree,Children's_favorite_degree,Comedy_favorite_degree,Crime_favorite_degree,Documentary_favorite_degree,Drama_favorite_degree,Fantasy_favorite_degree,Film-Noir_favorite_degree,Horror_favorite_degree,Musical_favorite_degree,Mystery_favorite_degree,Romance_favorite_degree,Sci-Fi_favorite_degree,Thriller_favorite_degree,War_favorite_degree,Western_favorite_degree,Action_rating_cnt,Adventure_rating_cnt,Animation_rating_cnt,Children's_rating_cnt,Comedy_rating_cnt,Crime_rating_cnt,Documentary_rating_cnt,Drama_rating_cnt,Fantasy_rating_cnt,Film-Noir_rating_cnt,Horror_rating_cnt,Musical_rating_cnt,Mystery_rating_cnt,Romance_rating_cnt,Sci-Fi_rating_cnt,Thriller_rating_cnt,War_rating_cnt,Western_rating_cnt,favorite_genre,num_liked_genres,activity_level,activity_level_encoded,favorite_genre_encoded
1,4.188679245283019,0.6809666142721429,53,3,5,-0.6071147922537024,0.1625731106145206,0.04310344827586207,0.04310344827586207,0.15517241379310345,0.1724137931034483,0.1206896551724138,0.017241379310344827,0.0,0.1810344827586207,0.02586206896551724,0.0,0.0,0.1206896551724138,0.0,0.05172413793103448,0.02586206896551724,0.02586206896551724,0.017241379310344827,0.0,5,5,18,20,14,2,0,21,3,0,0,14,0,6,3,3,2,0,Drama,13,active,0,7
2,3.7131782945736433,1.001512905945397,129,1,5,-0.13161384154432643,0.2697185070291362,0.19444444444444445,0.06597222222222222,0.0,0.0,0.08680555555555555,0.041666666666666664,0.0,0.2743055555555556,0.003472222222222222,0.003472222222222222,0.006944444444444444,0.0,0.010416666666666666,0.08333333333333333,0.059027777777777776,0.1076388888888889,0.052083333333333336,0.010416666666666666,56,19,0,0,25,12,0,79,1,1,2,0,3,24,17,31,15,3,Drama,14,super,2,7
3,3.9019607843137254,0.9849853188912879,51,1,5,-0.3203963312844085,0.2524334234344507,0.18699186991869918,0.2032520325203252,0.024390243902439025,0.024390243902439025,0.24390243902439024,0.0,0.0,0.06504065040650407,0.016260162601626018,0.0,0.024390243902439025,0.008130081300813009,0.008130081300813009,0.04065040650406504,0.04878048780487805,0.04065040650406504,0.016260162601626018,0.04878048780487805,23,25,3,3,30,0,0,8,2,0,3,1,1,5,6,5,2,6,Comedy,15,active,0,4
4,4.190476190476191,1.077916862241593,21,1,5,-0.6089117374468738,0.2572301603076529,0.3275862068965517,0.10344827586206896,0.0,0.017241379310344827,0.0,0.017241379310344827,0.0,0.10344827586206896,0.034482758620689655,0.0,0.05172413793103448,0.0,0.0,0.034482758620689655,0.15517241379310345,0.06896551724137931,0.05172413793103448,0.034482758620689655,19,6,0,1,0,1,0,6,2,0,3,0,0,2,9,4,3,2,Action,12,active,0,0
5,3.1464646464646466,1.132699316852714,198,1,5,0.4350998065646703,0.3599911151474115,0.08806818181818182,0.02556818181818182,0.011363636363636364,0.017045454545454544,0.1590909090909091,0.05965909090909091,0.017045454545454544,0.29545454545454547,0.0,0.008522727272727272,0.028409090909090908,0.008522727272727272,0.022727272727272728,0.08522727272727272,0.04261363636363636,0.11079545454545454,0.017045454545454544,0.002840909090909091,31,9,4,6,56,21,6,104,0,3,10,3,8,30,15,39,6,1,Drama,17,super,2,7
6,3.9014084507042255,0.8307471607356973,71,1,5,-0.31984399767490856,0.2129351928239513,0.06358381502890173,0.046242774566473986,0.05202312138728324,0.09248554913294797,0.18497109826589594,0.011560693641618497,0.0,0.12716763005780346,0.011560693641618497,0.0,0.0,0.10982658959537572,0.0,0.19653179190751446,0.011560693641618497,0.017341040462427744,0.028901734104046242,0.046242774566473986,11,8,9,16,32,2,0,22,2,0,0,19,0,34,2,3,5,8,Romance,14,active,0,13
7,4.32258064516129,0.747756501105966,31,3,5,-0.7410161921319731,0.17298844428570856,0.34523809523809523,0.09523809523809523,0.0,0.0,0.03571428571428571,0.023809523809523808,0.0,0.09523809523809523,0.0,0.0,0.011904761904761904,0.0,0.011904761904761904,0.03571428571428571,0.11904761904761904,0.17857142857142858,0.047619047619047616,0.0,29,8,0,0,3,2,0,8,0,0,1,0,1,3,10,15,4,0,Action,11,active,0,0
8,3.884892086330935,0.9253212265630916,139,2,5,-0.30332763330161816,0.23818453794864766,0.12857142857142856,0.03214285714285714,0.014285714285714285,0.010714285714285714,0.06428571428571428,0.04642857142857143,0.0,0.38571428571428573,0.0,0.0,0.0035714285714285713,0.0035714285714285713,0.014285714285714285,0.10714285714285714,0.04642857142857143,0.10357142857142858,0.03571428571428571,0.0035714285714285713,36,9,4,3,18,13,0,108,0,0,1,1,4,30,13,29,10,1,Drama,15,super,2,7
9,3.7358490566037736,0.8200102994992293,106,2,5,-0.15428460357445672,0.2194977064316119,0.0970873786407767,0.03398058252427184,0.043689320388349516,0.024271844660194174,0.13106796116504854,0.07766990291262135,0.009708737864077669,0.2621359223300971,0.0048543689320388345,0.0048543689320388345,0.0048543689320388345,0.0,0.0048543689320388345,0.08737864077669903,0.043689320388349516,0.13106796116504854,0.03398058252427184,0.0048543689320388345,20,7,9,5,27,16,2,54,1,1,1,0,1,18,9,27,7,1,Drama,17,super,2,7
10,4.114713216957606,0.8377398045036868,401,2,5,-0.5331487639282888,0.20359615854907784,0.09342560553633218,0.08073817762399077,0.03806228373702422,0.07381776239907728,0.21107266435986158,0.01730103806228374,0.002306805074971165,0.13379469434832755,0.04382929642445214,0.00461361014994233,0.02191464821222607,0.04267589388696655,0.00922722029988466,0.07727797001153403,0.08189158016147635,0.031141868512110725,0.02768166089965398,0.00922722029988466,81,70,33,64,183,15,2,116,38,4,19,37,8,67,71,27,24,8,Comedy,18,super,2,4
